MinionName,HP,Energy,ATK,Healing,Speed,Type 1,Type 2
Cerberus,65,45,90,35,75,DEMONIC,FIRE
Destrabell,45,45,65,45,45,HOLY,FIRE
Healabell,45,45,45,65,45,HOLY,FIRE
Egcrow,35,40,45,25,35,DEMONIC,FLYING
Skulcrow,40,55,60,35,65,DEMONIC,FLYING
Krobone,55,70,75,45,70,DEMONIC,FLYING
Leeru,15,35,45,35,50,DEMONIC,
Duleer,25,45,65,50,70,DEMONIC,
Leerpo,35,55,70,65,85,DEMONIC,
Banesha,45,65,60,40,55,UNDEAD,FIRE
Saintifi,60,50,75,75,60,HOLY,
Frostag,25,55,70,65,70,ICE,
Pumcin,35,45,35,30,35,DEMONIC,UNDEAD
Scaredrow,50,65,45,40,45,DEMONIC,UNDEAD
Scaredoom,65,75,70,50,55,DEMONIC,UNDEAD
Biomez,75,70,45,45,30,UNDEAD,
Zapig,30,45,40,10,40,FIRE,ENERGY
Ticub,40,45,40,35,50,NORMAL,
Tigertan,60,65,60,45,70,NORMAL,
Eeliforce,85,75,85,45,35,UNDEAD,WATER
Bab-8r,35,57,30,25,35,ROBOT,
Ant-8r,55,70,40,35,45,ROBOT,
Chidilla,65,45,30,7,15,ROBOT,
Armordilla,85,55,40,10,25,ROBOT,
Elecat,25,35,40,25,50,ENERGY,
Cheecha,30,40,50,30,70,ENERGY,
Lightina,35,45,65,35,95,ENERGY,
Domisteam,50,35,80,35,75,ROBOT,
Dogler,40,30,35,25,35,ENERGY,DEMONIC
Houndler,55,40,45,35,45,ENERGY,DEMONIC
Slime,40,55,25,25,30,NORMAL,
Gigaslime,60,70,35,35,35,NORMAL,
Destroslime,80,95,45,45,45,NORMAL,
Beakif,40,30,45,30,55,FLYING,ENERGY
Eaglin,65,40,65,45,75,FLYING,ENERGY
Amliflier,45,35,60,30,80,ROBOT,FLYING
Jellyjolt,10,35,65,40,45,WATER,ENERGY
Hydravolt,20,50,85,60,65,WATER,ENERGY
Megalatron,80,55,70,50,45,WATER,ROBOT
Shoktail,45,40,30,20,42,ENERGY,EARTH
Emperun,60,50,40,30,55,ENERGY,EARTH
Empawrath,75,60,60,40,65,ENERGY,EARTH
Dracolt,60,50,75,60,85,WATER,ENERGY
Harwing,25,40,60,60,75,DEMONIC,FLYING
Firox,35,40,60,60,70,FIRE,HOLY
Titoro,50,35,80,20,65,ROBOT,FIRE
Vudu,20,25,45,35,40,FIRE,
Hudu,40,35,55,45,65,FIRE,
Tortastone,100,25,15,20,5,EARTH,
Wafin,40,40,40,40,60,WATER,
Tatail,30,40,35,25,40,NORMAL,
Kleptoon,40,50,50,35,65,NORMAL,
Rexabee,35,25,38,5,20,DINO,
Tenasauras,60,30,65,10,35,DINO,
Rexathor,80,35,85,15,45,DINO,
Chirpla,5,25,40,25,45,FLYING,
Airmony,10,30,55,30,60,FLYING,WATER
Falcona,15,35,75,35,85,FLYING,WATER
Sealo,50,45,40,20,20,ICE,WATER
Sealast,75,60,55,30,30,ICE,WATER
Foramare,60,75,60,75,45,PLANT,WATER
Betehorn,37,30,45,20,30,EARTH,NORMAL
Betestone,50,35,60,25,40,EARTH,NORMAL
Betehulk,85,40,85,30,45,EARTH,NORMAL
Tremole,45,25,25,10,10,EARTH,
Seizemole,75,30,30,12,15,EARTH,
Sumole,90,35,40,15,20,EARTH,
Holymantis,30,50,25,87,60,PLANT,HOLY
Shrumpy,40,35,40,25,30,PLANT,ICE
Eldrest,65,50,55,35,35,PLANT,ICE
Archick,20,35,30,35,45,FLYING,ICE
Arcticowl,30,45,65,50,70,FLYING,ICE
Kittyvile,15,25,50,30,55,DEMONIC,
Pumafiend,25,35,70,40,75,DEMONIC,
Chimilla,35,25,40,15,25,PLANT,NORMAL
Cactilla,60,40,65,25,35,PLANT,NORMAL
Mayataz,70,60,75,65,75,FLYING,PLANT
Electroboar,35,55,50,15,50,FIRE,ENERGY
Tazorback,40,65,60,20,60,FIRE,ENERGY
Sapent,25,25,35,20,35,PLANT,
Cobrapent,40,35,40,30,45,PLANT,
Quickapent,65,50,55,40,60,PLANT,
Cubble,55,35,50,10,20,FIRE,EARTH
Blazebar,80,40,70,15,20,FIRE,EARTH
Tadcoal,35,30,40,35,30,FIRE,
Volcanoad,50,32,48,40,32,FIRE,
Eruptoad,65,35,55,45,35,FIRE,
Toregg,20,25,38,5,40,DINO,FIRE
Smouldor,35,30,65,10,60,DINO,FIRE
Flamator,45,35,85,15,80,DINO,FIRE
Octaleaf,35,40,25,40,25,PLANT,
Octagrass,40,55,35,50,30,PLANT,
Octatree,45,70,45,60,35,PLANT,
Wormif,30,30,35,15,35,EARTH,NORMAL
Rottar,50,35,55,20,40,EARTH,NORMAL
Riffra,70,40,70,25,60,EARTH,NORMAL
Sobek,65,75,100,50,60,TITAN,
Seiryu,85,70,85,80,75,TITAN,
Kel'ba,25,35,60,30,35,UNDEAD,
Kel'ten,35,40,75,40,40,UNDEAD,
Kel'Tuzar,45,50,95,50,45,UNDEAD,
